SpineBase,-0.3234805,-0.4149845,2.553862,TRACKED
SpineMid,-0.3314645,-0.09503952,2.521441,TRACKED
Neck,-0.3373245,0.2172127,2.474896,TRACKED
Head,-0.3520793,0.3386379,2.429295,TRACKED
ShoulderLeft,-0.4980951,0.1262101,2.4743,TRACKED
ElbowLeft,-0.5676952,-0.0785565,2.478661,TRACKED
WristLeft,-0.5807205,-0.2062612,2.331209,TRACKED
HandLeft,-0.5818331,-0.2332071,2.257768,TRACKED
ShoulderRight,-0.1782756,0.1389019,2.4679,TRACKED
ElbowRight,-0.0858238,-0.0631818,2.49456,TRACKED
WristRight,-0.03913562,-0.182893,2.346547,TRACKED
HandRight,-0.04121027,-0.2284458,2.27046,TRACKED
HipLeft,-0.3916829,-0.4118693,2.515121,TRACKED
KneeLeft,-0.529537,-0.2250337,2.238351,TRACKED
AnkleLeft,-0.4931328,-0.6605456,2.361177,TRACKED
FootLeft,-0.4869119,-0.696454,2.238637,TRACKED
HipRight,-0.2456978,-0.4061331,2.518047,TRACKED
KneeRight,-0.07433175,-0.2157692,2.260705,TRACKED
AnkleRight,-0.1257973,-0.6109626,2.463671,TRACKED
FootRight,-0.2033523,-0.6832041,2.424609,TRACKED
SpineShoulder,-0.3361275,0.1402481,2.488971,TRACKED
HandTipLeft,-0.6051346,-0.2721654,2.194951,TRACKED
ThumbLeft,-0.6032373,-0.2244261,2.2531,TRACKED
HandTipRight,-0.02296055,-0.2549832,2.22311,TRACKED
ThumbRight,-0.08490279,-0.2455887,2.241986,TRACKED
SpineBase,-0.3235987,-0.4149268,2.553916,TRACKED
SpineMid,-0.3315394,-0.09502274,2.521506,TRACKED
Neck,-0.3373722,0.2171976,2.474984,TRACKED
Head,-0.3521387,0.3385485,2.429388,TRACKED
ShoulderLeft,-0.4981078,0.1262545,2.474302,TRACKED
ElbowLeft,-0.5677626,-0.07853282,2.478615,TRACKED
WristLeft,-0.5811442,-0.2063145,2.331273,TRACKED
HandLeft,-0.5831985,-0.2342909,2.257798,TRACKED
ShoulderRight,-0.1783182,0.1388893,2.467888,TRACKED
ElbowRight,-0.08583775,-0.06402434,2.49475,TRACKED
WristRight,-0.03952072,-0.1835266,2.346435,TRACKED
HandRight,-0.04129746,-0.2278649,2.271618,TRACKED
HipLeft,-0.3918215,-0.4117426,2.515236,TRACKED
KneeLeft,-0.5296411,-0.2249816,2.238383,TRACKED
AnkleLeft,-0.4932101,-0.6607172,2.362411,TRACKED
FootLeft,-0.4869969,-0.696644,2.239836,TRACKED
HipRight,-0.245819,-0.4061145,2.518064,TRACKED
KneeRight,-0.07429919,-0.2157737,2.260807,TRACKED
AnkleRight,-0.125651,-0.6108099,2.462432,TRACKED
FootRight,-0.2040475,-0.6823233,2.424755,TRACKED
SpineShoulder,-0.3361879,0.1402398,2.489057,TRACKED
HandTipLeft,-0.6050278,-0.2739314,2.193305,TRACKED
ThumbLeft,-0.6058691,-0.2198642,2.251128,TRACKED
HandTipRight,-0.02266054,-0.2550192,2.219921,TRACKED
ThumbRight,-0.08086338,-0.2530109,2.224625,TRACKED
SpineBase,-0.3235475,-0.4149476,2.553835,TRACKED
SpineMid,-0.3315229,-0.0950205,2.521507,TRACKED
Neck,-0.3373413,0.2172261,2.475063,TRACKED
Head,-0.3522618,0.3385387,2.429423,TRACKED
ShoulderLeft,-0.4981256,0.1262945,2.474221,TRACKED
ElbowLeft,-0.5676332,-0.07854983,2.478806,TRACKED
WristLeft,-0.5811862,-0.2062113,2.33137,TRACKED
HandLeft,-0.5817532,-0.2326524,2.257294,TRACKED
ShoulderRight,-0.1785003,0.138933,2.467863,TRACKED
ElbowRight,-0.08571951,-0.06436878,2.494504,TRACKED
WristRight,-0.04039344,-0.1841206,2.346078,TRACKED
HandRight,-0.042177,-0.2275374,2.27289,TRACKED
HipLeft,-0.3917147,-0.4118212,2.514958,TRACKED
KneeLeft,-0.5297642,-0.2248325,2.238398,TRACKED
AnkleLeft,-0.4929947,-0.6586549,2.361756,TRACKED
FootLeft,-0.4867667,-0.6945778,2.239206,TRACKED
HipRight,-0.2458051,-0.4061114,2.518063,TRACKED
KneeRight,-0.07424732,-0.2159516,2.260677,TRACKED
AnkleRight,-0.09473509,-0.6245452,2.404995,TRACKED
FootRight,-0.182959,-0.6704789,2.411692,TRACKED
SpineShoulder,-0.3361651,0.1402573,2.489105,TRACKED
HandTipLeft,-0.6048965,-0.2723633,2.192075,TRACKED
ThumbLeft,-0.6053268,-0.2232197,2.2442,TRACKED
HandTipRight,-0.02235047,-0.2558709,2.222934,TRACKED
ThumbRight,-0.08391728,-0.2527533,2.232285,TRACKED
SpineBase,-0.3234648,-0.41488,2.553786,TRACKED
SpineMid,-0.3314932,-0.09498221,2.521518,TRACKED
Neck,-0.3373329,0.2172683,2.475136,TRACKED
Head,-0.3523824,0.3385559,2.429511,TRACKED
ShoulderLeft,-0.4981642,0.1262881,2.474225,TRACKED
ElbowLeft,-0.5676067,-0.0788833,2.479043,TRACKED
WristLeft,-0.5813968,-0.2062169,2.331338,TRACKED
HandLeft,-0.5805743,-0.2333948,2.256354,TRACKED
ShoulderRight,-0.1785346,0.1389823,2.467929,TRACKED
ElbowRight,-0.08613555,-0.06176109,2.494405,TRACKED
WristRight,-0.04158441,-0.1838612,2.34779,TRACKED
HandRight,-0.04140259,-0.2283169,2.270194,TRACKED
HipLeft,-0.3916179,-0.4117533,2.514854,TRACKED
KneeLeft,-0.5298933,-0.2247694,2.238414,TRACKED
AnkleLeft,-0.4929713,-0.6586564,2.361979,TRACKED
FootLeft,-0.4286057,-0.6982722,2.363602,TRACKED
HipRight,-0.2457344,-0.4060336,2.518061,TRACKED
KneeRight,-0.07420885,-0.2158841,2.260635,TRACKED
AnkleRight,-0.1244357,-0.6213732,2.459726,TRACKED
FootRight,-0.2083785,-0.6860052,2.424405,TRACKED
SpineShoulder,-0.3361542,0.1402964,2.48916,TRACKED
HandTipLeft,-0.6058312,-0.2732641,2.192304,TRACKED
ThumbLeft,-0.5994043,-0.2098793,2.255231,TRACKED
HandTipRight,-0.02373484,-0.2546488,2.223083,TRACKED
ThumbRight,-0.08614871,-0.2449595,2.242226,TRACKED
SpineBase,-0.3233722,-0.4148217,2.553691,TRACKED
SpineMid,-0.3314911,-0.09498224,2.521518,TRACKED
Neck,-0.3373813,0.2172159,2.475215,TRACKED
Head,-0.3525739,0.3385433,2.429545,TRACKED
ShoulderLeft,-0.4981698,0.1262766,2.474227,TRACKED
ElbowLeft,-0.5675368,-0.07845514,2.479083,TRACKED
WristLeft,-0.581428,-0.2087541,2.303017,TRACKED
HandLeft,-0.5829093,-0.234761,2.252221,TRACKED
ShoulderRight,-0.1786719,0.1390179,2.468015,TRACKED
ElbowRight,-0.08614944,-0.06096286,2.494108,TRACKED
